Year,Agecategories,Courses,Date of birth,Slug
2,baby,,2015,02
3,baby,,2014,03
4,baby,,2013,04
5,baby,,2012,05
6,kids,Basket 2010-2011,2011,06
7,kids,Basket 2010-2011,2010,07
8,kids,"Basket 2008-2009,Karate Kids",2009,08
9,kids,"Basket 2008-2009,Karate Kids",2008,09
10,kids,Basket 2007,2007,10
11,kids,Basket 2006,2006,11
12,teenagers,REBOUND 2005,2005,12
13,teenagers,PIVOT 2002-03-04,2004,13
14,teenagers,PIVOT 2002-03-04,2003,14
15,teenagers,PIVOT 2002-03-04,2002,15
16,teenagers,,2001,16
17,teenagers,,2000,17
18,adults,"Karate Do,Kobudo,Aikido ",1999,18
5+,kids,handball,NaN,05+
18+,adults,,NaN,18+
