Name,Courses,Place,Syllogos,Schools
Αθήνα,,,,
Θεσσαλονίκη,"Basket 2007,Basket 2006,Basket 2010-2011,Basket 2008-2009,Karate Do,Kobudo,Aikido ,handball,PIVOT 2002-03-04,REBOUND 2005,Κιθάρα,Karate Kids,Basket Vergina ,Volley Βεργίνα","11 Δημοτικού Καλαμαριάς,23 Δημοτικού Καλαμαριας,ΧΑΝΘ,ΤΕΦΑΑ ΘΕΡΜΗ,Δημοτικό Θεατρο Δάσους,DOJO,Βεργίνα Γήπεδο","Βεργίνα,Ναύαρχος Βότσης,Ορφέας,Απόλλων Καλαμαριάς,ΧΑΝΘ","Suibukan,Tenchikan,Ωδείο Τούμπας,GBA,Αστερια Basket,Ορφέας,ΧΑΝΘ,Βεργίνα"
Πάτρα,,,,
Ηράκλειο,,,,
Λάρισα,,,,
Βόλος,,,,
Ιωάννινα,,,,
Τρίκαλα,,,,
Χαλκίδα,,,,
Σέρρες,,,,
Αλεξανδρούπολη,,,,
Ξάνθη,,,,
Κατερίνη,,,,
Αγρίνιο,,,,
Καλαμάτα,,,,
Καβάλα,,,,
Χανιά,,,,
Λαμία,,,,
Κομοτηνή,,,,
Ρόδος,,,,
