"School","City","Perioxi","Category","Subcategory","Facebook","Website","Organization","Logo","Address","TK","Phone","email","Courses","Place","Rensponsible","Description","Verified","map block field","έτος ίδρυσης","data origin","mobile","Eidos","To publish"
"Shinkendo Athens - Japanese Swordsmanship, Aikibujutsu/Aikido, Bojutsu","Αθήνα",,"Πολεμικές τέχνες","Aikido","https://www.facebook.com/ShinkendoAthens","http://www.shinkendo.gr/",,,"Ious 23, Athina 118 54, Greece",,"697 303 0946",,,,,,,,,"hunter.io",,,
"AIKIDO ΑΘΗΝΩΝ","Αθήνα",,"Πολεμικές τέχνες","Aikido","www.facebook.com/AikidoAthensGreece/","www.aikidoathens.gr/",,"https://www.polemikes-tehnes.gr/pics/logos/b/2013118114158961.jpg",,,," info@aikidoathens.gr",,,,,,,,"polemikes-texnes.gr",,,
"TENGUIKE AIKIDO DOJO ΙΩΑΝΝΙΝΑ","Ιωάννινα",,"Πολεμικές τέχνες","Aikido","www.facebook.com/aikido.ioanninadojo","http://tenguikeaikido.blogspot.gr/",,"https://www.polemikes-tehnes.gr/pics/logos/b/2013826112943671.jpg",,,," ",,,,,,,,"polemikes-texnes.gr",,,
"Jutaidokan","Αθήνα"," ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν","Πολεμικές τέχνες","Aikido","https://www.facebook.com/jutaidokan","http://www.aikidojutaidokan.gr/?lang=el",,,,,,,,,,,,,,"aikido.gr",,,
"Shurein Dojo (UAD member)","Αθήνα","Nέα Σμύρνη","Πολεμικές τέχνες","Aikido",,"http://unitedaikidodojos.gr/en/",,,,,,,,,,,,,,"aikido.gr",,,
"Aikido Training Center","Αθήνα","ΑΓ. ΔΗΜΗΤΡΙΟΣ-main","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/AikidoTrainingCenterVeskos/","http://aikidotrainingcenter.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Meikonikan Dojo","Αθήνα","ΑΓ. ΔΗΜΗΤΡΙΟΣ-main","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/Meikonkan-Dojo-A%CE%A3-%CE%A5%CF%80%CE%B5%CF%81%CE%B9%CF%89%CE%BD-%CE%A0%CE%B1%CE%BB%CE%B1%CE%B9%CE%BF%CF%8D-%CE%A6%CE%B1%CE%BB%CE%AE%CF%81%CE%BF%CF%85-336892476431945/","http://www.meikonkan.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Jikokensan Dojo","Αθήνα","Άγιος Νικόλαος","Πολεμικές τέχνες","Aikido","http://www.facebook.com/JikokensanAikidoDojo",,,,,,,,,,,,,,,"aikido.gr",,,
"Aikido Center","Αθήνα","ΑΙΓΑΛΕΩ","Πολεμικές τέχνες","Aikido",,"http://www.aikidocenter.gr/index_new_01.htm",,,,,,"info@aikidocenter.gr",,,,,,,,"aikido.gr",,,
"Hellenic Inochikan Aikikai","Αθήνα","ΑΝΩ ΠΑΤΗΣΙΑ-main","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/inochikan/","http://dojo.inochikan.com/index.php/gr/",,,"Neigi 17, Athina 111 43, Greece",,,,,,,,,,,"hunter.io",,,
"Umibe no Dojo","Αθήνα","ΑΡΤΕΜΙΔΑ-main","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/%CE%91%CE%B8%CE%BB%CE%B7%CF%84%CE%B9%CE%BA%CE%BF%CF%82-%CE%A3%CF%85%CE%BB%CE%BB%CE%BF%CE%B3%CE%BF%CF%82-%CE%91%CF%81%CF%84%CE%B5%CE%BC%CE%B9%CE%B4%CE%BF%CF%82-JUDO-437544283104721/",,,,,,,,,,,,,,,"aikido.gr",,,
"AikidoWestEnd","Αθήνα","ΑΧΑΡΝΑΙ-main","Πολεμικές τέχνες","Aikido","https://www.facebook.com/Aikido-WEST-END-285433488152733/",,,,,,,,,,,,,,,"aikido.gr",,,
"Shu Do Kan","Αθήνα","ΑΧΑΡΝΑΙ-main","Πολεμικές τέχνες","Aikido",,"http://www.shudokan.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Warriors Spirit Dojo (AWA member)","Αθήνα","ΒΡΙΛΗΣΣΙΑ","Πολεμικές τέχνες","Aikido",,"http://www.warriors-spirit.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO","Θεσσαλονίκη","Βυζάντιο","Πολεμικές τέχνες","Aikido","www.facebook.com/groups/yudokan/","www.atrapos.gr ",,"https://www.polemikes-tehnes.gr/pics/logos/b/2016320145454543.jpg",,,," info@atrapos.gr ",,,,,,,,"polemikes-texnes.gr",,,
"Athens Aikido Society","Αθήνα","ΒΥΡΩΝΑΣ-main","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/AthensAikidoSociety/","http://athensaikidosociety.gr",,,,,,,,,,,,,,"aikido.gr",,,
"Budolife (AWA member)","Αθήνα","ΓΕΡΑΚΑΣ","Πολεμικές τέχνες","Aikido","https://www.facebook.com/budolifegerakas/","http://www.budolife.gr/",,,,,,,,,,,,,,"aikido.gr",,,
