"School","City","Perioxi","Category","Subcategory","Website","Facebook","email","Organization","Logo","Address","TK","Phone","Courses","Place","Rensponsible","Description","Verified","map block field","έτος ίδρυσης","data origin","mobile","type","To publish","UID"
"Shinkendo Athens - Japanese Swordsmanship, Aikibujutsu/Aikido, Bojutsu","Αθήνα",,"Πολεμικές τέχνες","Aikido","http://www.shinkendo.gr/","https://www.facebook.com/ShinkendoAthens",,,,"Ious 23, Athina 118 54, Greece",,"697 303 0946",,,,,,,,"hunter.io",,,,105
"AIKIDO ΑΘΗΝΩΝ","Αθήνα",,"Πολεμικές τέχνες","Aikido","www.aikidoathens.gr/","www.facebook.com/AikidoAthensGreece/"," info@aikidoathens.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/2013118114158961.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,170
"Jutaidokan","Αθήνα"," ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-μαιν","Πολεμικές τέχνες","Aikido","http://www.aikidojutaidokan.gr/?lang=el","https://www.facebook.com/jutaidokan",,,,,,,,,,,,,,"aikido.gr",,,,524
"Shurein Dojo (UAD member)","Αθήνα","Nέα Σμύρνη","Πολεμικές τέχνες","Aikido","http://unitedaikidodojos.gr/en/",,,,,,,,,,,,,,,"aikido.gr",,,,544
"Aikido Training Center","Αθήνα","ΑΓ. ΔΗΜΗΤΡΙΟΣ-main","Πολεμικές τέχνες","Aikido","http://aikidotrainingcenter.gr/","https://el-gr.facebook.com/AikidoTrainingCenterVeskos/",,,,,,,,,,,,,,"aikido.gr",,,,557
"Meikonikan Dojo","Αθήνα","ΑΓ. ΔΗΜΗΤΡΙΟΣ-main","Πολεμικές τέχνες","Aikido","http://www.meikonkan.gr/","https://el-gr.facebook.com/Meikonkan-Dojo-A%CE%A3-%CE%A5%CF%80%CE%B5%CF%81%CE%B9%CF%89%CE%BD-%CE%A0%CE%B1%CE%BB%CE%B1%CE%B9%CE%BF%CF%8D-%CE%A6%CE%B1%CE%BB%CE%AE%CF%81%CE%BF%CF%85-336892476431945/",,,,,,,,,,,,,,"aikido.gr",,,,558
"Jikokensan Dojo","Αθήνα","Άγιος Νικόλαος","Πολεμικές τέχνες","Aikido",,"http://www.facebook.com/JikokensanAikidoDojo",,,,,,,,,,,,,,"aikido.gr",,,,585
"Aikido Center","Αθήνα","ΑΙΓΑΛΕΩ","Πολεμικές τέχνες","Aikido","http://www.aikidocenter.gr/index_new_01.htm",,"info@aikidocenter.gr",,,,,,,,,,,,,"aikido.gr",,,,616
"Hellenic Inochikan Aikikai","Αθήνα","ΑΝΩ ΠΑΤΗΣΙΑ-main","Πολεμικές τέχνες","Aikido","http://dojo.inochikan.com/index.php/gr/","https://el-gr.facebook.com/inochikan/",,,,"Neigi 17, Athina 111 43, Greece",,,,,,,,,,"hunter.io",,,,708
"Umibe no Dojo","Αθήνα","ΑΡΤΕΜΙΔΑ-main","Πολεμικές τέχνες","Aikido",,"https://el-gr.facebook.com/%CE%91%CE%B8%CE%BB%CE%B7%CF%84%CE%B9%CE%BA%CE%BF%CF%82-%CE%A3%CF%85%CE%BB%CE%BB%CE%BF%CE%B3%CE%BF%CF%82-%CE%91%CF%81%CF%84%CE%B5%CE%BC%CE%B9%CE%B4%CE%BF%CF%82-JUDO-437544283104721/",,,,,,,,,,,,,,"aikido.gr",,,,742
"AikidoWestEnd","Αθήνα","ΑΧΑΡΝΑΙ-main","Πολεμικές τέχνες","Aikido",,"https://www.facebook.com/Aikido-WEST-END-285433488152733/",,,,,,,,,,,,,,"aikido.gr",,,,763
"Shu Do Kan","Αθήνα","ΑΧΑΡΝΑΙ-main","Πολεμικές τέχνες","Aikido","http://www.shudokan.gr/",,,,,,,,,,,,,,,"aikido.gr",,,,764
"Warriors Spirit Dojo (AWA member)","Αθήνα","ΒΡΙΛΗΣΣΙΑ","Πολεμικές τέχνες","Aikido","http://www.warriors-spirit.gr/",,,,,,,,,,,,,,,"aikido.gr",,,,791
"Athens Aikido Society","Αθήνα","ΒΥΡΩΝΑΣ-main","Πολεμικές τέχνες","Aikido","http://athensaikidosociety.gr","https://el-gr.facebook.com/AthensAikidoSociety/",,,,,,,,,,,,,,"aikido.gr",,,,810
"Budolife (AWA member)","Αθήνα","ΓΕΡΑΚΑΣ","Πολεμικές τέχνες","Aikido","http://www.budolife.gr/","https://www.facebook.com/budolifegerakas/",,,,,,,,,,,,,,"aikido.gr",,,,824
"ΑΚΑΔΗΜΙΑ AIKIDO KOBAYASHI HIROKAZU RYU","Αθήνα","Γέρακας","Πολεμικές τέχνες","Aikido","https://aikidokobayashihellas.wordpress.com/","www.facebook.com/AikidoKobayashiRyuHellas/"," aikido.kobayashi.hellas@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/2017109184146323.png",,,,,,,,,,,"polemikes-texnes.gr",,,,834
"Aikido Glyfadas","Αθήνα","ΓΛΥΦΑΔΑ","Πολεμικές τέχνες","Aikido",,"https://el-gr.facebook.com/people/Aikido-Glyfadas-Jiyudo-Glyfada/100008894490086",,,,,,,,,,,,,,"aikido.gr",,,,848
"Aikido Academy","Αθήνα","ΕΛΛΗΝΙΚΟ","Πολεμικές τέχνες","Aikido","http://www.aikidoacademy.gr/",,"info@aikidoacademy.gr",,,"Thrakis 30, Elliniko 167 77, Greece",,"21 0973 2896",,,,,,,,"hunter.io",,,,913
"ΕΜΠ Dojo","Αθήνα","ΕΜΠ","Πολεμικές τέχνες","Aikido",,"https://el-gr.facebook.com/AikidoEMP/",,,,,,,,,,,,,,"aikido.gr",,,,923
"Α.Σ. ΕΞΑΡΧΕΙΩΝ ""BLACK BELT"" SHOTOKAN KARATE - BRAZILIAN JIU JITSU - AIKIDO","Αθήνα","Εξάρχεια","Πολεμικές τέχνες","Aikido","http://black-belt.gr/",,,,,"Zoodochou Pigis 55, Athina 106 81, Greece",,"693 200 7477",,,,,,,,"hunter.io",,,,924
"Hakushinkai Dojo","Αθήνα","ΗΛΙΟΥΠΟΛΗ","Πολεμικές τέχνες","Aikido","http://www.hakushinkai-athens.gr/greek/home.html","https://el-gr.facebook.com/HakushinkaiAthens/",,,,,,,,,,,,,,"aikido.gr",,,,952
"Geobukan Budo Academy","Αθήνα","Καλιθέα","Πολεμικές τέχνες","Aikido","http://www.geobukan.gr/","https://www.facebook.com/geobukan.professional/","info@geobukan.gr",,"http://www.fightsports.gr/wp-content/uploads/2016/12/geobukan-logo.jpg","Σχολές: 1.Geobukan-Βάρης:Λεωφόρος Βάρης 94,Βάρη - 2.Geobukan Μαρκοπούλου: Κλειστό Δημοτικό Γυμναστήριο Μαρκοπούλου,Μαρκόπουλο -3. Geobukan Νέου Φαλήρου-ΣΕΦ:Στάδιο Ειρήνης και Φιλίας (Αίθουσα 11,1ος Όροφος),Νέο Φάληρο",,"210 96 57 389",,,,,,,,"fightsports.gr","6944 427 050",,,1075
"Kantza Aikikai","Αθήνα","Κάντζα","Πολεμικές τέχνες","Aikido","http://www.kantzaaikikai.gr/el/aikido-3/","https://www.facebook.com/profile.php?id=100009083572392",,,,,,,,,,,,,,"aikido.gr",,,,1104
"Fukushinkan","Αθήνα","Κέντρο-Αθήνα","Πολεμικές τέχνες","Aikido","http://www.hellenicaikido.gr/","https://www.facebook.com/Hellenic-Aikido-Association-Fukushinkan-Dojo-official-Athens-Greece-268826066481640/",,,,,,,,,,,,,,"aikido.gr",,,,1124
"SHU REN KAN","Αθήνα","ΚΟΛΩΝΟΣ","Πολεμικές τέχνες","Aikido","http://www.aikido-dojo.gr/","https://el-gr.facebook.com/Shu-Ren-Kan-Aikido-Dojo-161708514023546/",,,,,,,,,,,,,,"aikido.gr",,,,1175
"Athens Bushido Center (UAD member)","Αθήνα","Κουκάκι","Πολεμικές τέχνες","Aikido","http://aikidobushidocenter.gr/","https://el-gr.facebook.com/Athens.Bushido.Center/",,,,,,,,,,,,,,"aikido.gr",,,,1192
"Aikido Athens bushido center","Αθήνα","Κουκάκι","Πολεμικές τέχνες","Aikido","http://www.aikidobushidocenter.gr/",,"info@aikidobushidocenter.gr",,,"Tousa Mpotsari 11 koukaκi 11741, Metro station FIX 80m distance, Athina 117 41, Greece",,"697 338 1917",,,,,,,,"hunter.io",,,,1193
