"School","City","Perioxi","Category","Subcategory","Facebook","Website","Organization","Logo","Address","TK","Phone","email","Courses","Place","Rensponsible","Description","Verified","map block field","έτος ίδρυσης","data origin","mobile","Eidos","To publish"
"AQUA Swimming Center","Αθήνα",,"BABY SWIMMING,aikido",,"https://www.facebook.com/AQUA-Swimming-Center-1801059900120813/","http://aquaswimmingcenter.wixsite.com/aquaswim",,,"Meg. Alexandrou 67, Peristeri 121 32, Greece",,"21 1404 7004",,,,,,,,,"hunter.io",,,
"Χελωνάκια","Αθήνα",,"BABY SWIMMING",,"https://www.facebook.com/xelonakia/","http://xelonakia.gr/",,,"Ilektras 7, Kallithea 176 73, Greece",,"21 0952 0025","kallithea@xelonakia.gr",,,,,,,,"hunter.io",,,
"Γοργόνες και Μάγκες","Αθήνα",,"BABY SWIMMING",,"http://www.facebook.com/GorgoneskaiMages","http://www.gorgoneskaimages.gr/",,,"Archipelagous 88, Αθήνα 165 62, Greece",,"21 0960 6786","info@gorgoneskaimages.gr",,,,,,,,"hunter.io",,,
"Holmes Place East Med B.V.","Αθήνα",,"BABY SWIMMING",,"http://www.facebook.com/holmesplacegreece?fref=ts","http://holmesplace.gr/",,,"5 Sekeri & Kanari, Athina 106 71, Greece",,"21 0747 5600","maroussi@holmesplace.gr",,,,,,,,"hunter.io",,,
"Dais Athletic Center Amarousio","Αθήνα",,"BABY SWIMMING",,"http://www.facebook.com/SportsCenterDais","http://sports.daiscenter.gr/",,,"Mesogion 151, Marousi 151 26, Greece",,"21 0618 6050",,,,,,,,,"hunter.io",,,
"Asteríes","Αθήνα",,"BABY SWIMMING",,"https://www.facebook.com/pages/%CE%91%CF%83%CF%84%CE%B5%CF%81%CE%B9%CE%B5%CF%82/603521139752501","http://www.asteries.gr/",,,"Kikladon 11, Argiroupoli 164 52, Greece",,"21 0996 4422","info@asteries.gr",,,,,,,,"hunter.io",,,
"Baby Swimming Thessaloniki Πειρατές της Πισίνας","Θεσσαλονίκη",,"BABY SWIMMING",,"http://www.facebook.com/BabySwimmingThessaloniki","http://www.thebabyswimming.gr/",,,"Monastiriou 307, Thessaloniki 546 28, Greece",,"693 207 3030","info@thebabyswimming.gr",,,,,,,,"hunter.io",,,
"Star Pool Center | Κολυμβητήρια με Όζον και Βρεφική Κολύμβηση","Θεσσαλονίκη",,"BABY SWIMMING",,"https://www.facebook.com/starpoolcenter/","http://starpoolcenter.gr/",,,"Αγ. Γεωργίου 9, Πατριαρχικό Πυλαίας, Τ.Θ. 8012, Πυλαία Θεσσαλονίκη 570 01, Greece",,"231 600 7378",,,,,,,,,"hunter.io",,,
"SWIM COLLEGE","Θεσσαλονίκη",,"BABY SWIMMING",,"https://www.facebook.com/swimcollege/","http://www.swimcollege.gr/",,,"37, Marias Kallas, Thessaloniki 546 55",,"231 042 9400","info@swimcollege.gr",,,,,,,,"hunter.io",,,
"Ιχθείς Aqua Club","Θεσσαλονίκη",,"BABY SWIMMING",,"https://www.facebook.com/Ixtheis.babyswimthessaloniki/","http://www.babyswimthessaloniki.gr/",,,"Miaouli 18, Kalamaria 551 32",,"698 966 5757","info@babyswimthessaloniki.gr",,,,,,,,"hunter.io",,,
"Ιχθείς Aqua Club Baby Swimming Θεσσαλονίκη Ακαδημίες Κολύμβησης Aqua Yoga","Θεσσαλονίκη",,"BABY SWIMMING",,"https://www.facebook.com/Ixtheis.babyswimthessaloniki/","http://www.babyswimthessaloniki.gr/",,,"St. Luke's General Clinic, Pilea Chortiatis 552 36, Greece",,"695 506 6413","info@babyswimthessaloniki.gr",,,,,,,,"hunter.io",,,
"PANDA ΣΤΟ ΝΕΡΟ","Αθήνα","Βριλήσσια","BABY SWIMMING",,"https://www.facebook.com/pages/Panda-%CF%83%CF%84%CE%BF-%CE%BD%CE%B5%CF%81%CF%8C/517172738322875","http://pandastonero.gr/",,"306586_517178401655642_1818176844_n.jpg","Γράμμου 42,Βριλήσσια,Τ.Κ. 15235","15235",,"info@pandastonero.gr",,,,,,,,"wefit",,,
"Γοργόνες και Μάγκες","Αθήνα","ΆνωΓλυφάδα","BABY SWIMMING",,"https://www.facebook.com/GorgoneskaiMagesFanPage?fref=ts","http://www.gorgoneskaimages.gr/",,"logo (39).jpg","Αρχιπελάγους 88,Άνω Γλυφάδα,Τ.Κ 16562","16562",,"gorgoneskaimages1@yahoo.gr",,,,,,,,"wefit",,,
