School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos
Krav Maga Protection,Θεσσαλονίκη,,Πολεμικές τέχνες,Krav Maga,none,https://www.facebook.com/KravMagaKMP/,https://kravmagapro.gr/,,,,,,"Krav Maga Protection,Tactical Combat Training",,,,,,,,,
Ακαδημία Ποδοσφαίρου ΚΩΦΙΔΗΣ - ΑΣΤΕΡΙΑ,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,https://www.facebook.com/asasteria/,,,,,,,,,,,,,,,,
Swimstars,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,none,,http://www.swimstars.gr/,,,,,,,,,,,,,,,
Strikers,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,https://www.strikers.gr/,,,,,,,,,,,,,,,
Ακαδημίες ποδοσφαίρου ανατολική Θεσσαλονίκη Ι. Παπάφης,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.ioannis-papafis.eu/p/akadimies-podosfairou-thessalonikis.html,,,,,,,,,,,,,,,
Bebides,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.bebides.gr/site/index.php,,,,,,,,,,,,,,,
Aris football,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.arisac.gr/sports/academies/football/item/4948-%CE%B1%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7-%CE%B1%CE%BA%CE%B1%CE%B4%CE%B7%CE%BC%CE%B9%CF%8E%CE%BD-%CF%80%CE%BF%CE%B4%CE%BF%CF%83%CF%86%CE%B1%CE%AF%CF%81%CE%BF%CF%85,,,,,,,,,,,,,,,
Hoop,Θεσσαλονίκη,,Αθλητισμός,Basket,none,,http://hoopbec.gr/,,,,,,,,,,,,,,,
Barcelonica,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,https://www.facebook.com/BarcelonicaFC/,,,,,,,,,,,,,,,,
Ναυτικός Όμιλος Θεσ. - κωπηλασία,Θεσσαλονίκη,,Αθλητισμός,Κωπηλασία,none,,http://www.ncth.gr/content/antisfairisi,,,,,,,,,,,,,,,
Ναυτικός Όμιλος Θεσ. - ιστιοπλοία,Θεσσαλονίκη,,Αθλητισμός,Ιστιοπλοϊα,none,,http://www.ncth.gr/content/antisfairisi,,,,,,,,,,,,,,,
Ναυτικός Όμιλος Θεσ. - αντισφαίριση,Θεσσαλονίκη,,Αθλητισμός,Αντισφαίριση,none,,http://www.ncth.gr/content/antisfairisi,,,,,,,,,,,,,,,
Μέγας Αλέξανδρος,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.megasalexandrosfc.gr/academy,,,,,,,,,,,,,,,
PAOK FC,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,PAOK,,http://www.paokfc.gr/paok-academy/,,,,,,,,,,,,,,,
Asteria,Θεσσαλονίκη,,Αθλητισμός,Basket,none,,http://www.sbc.gr/asteriaindex.asp,,,,,,,,,,,,,,,
Ποδοσφαιρο ΣΕΦΑΑ,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.sporthermi.web.auth.gr/node/7,,,,,,,,,,,,,,,
COLLECTIVE - tennis,Θεσσαλονίκη,,Αθλητισμός,Τένις,none,,http://www.collective-tennis.gr/,,,,,,,,,,,,,,,
ΜΑΚΕΔΟΝΙΑΣ - Ρομποτικη,Θεσσαλονίκη,,Εκπαιδευτικά,Robotics,none,,https://www.robotics.uom.gr/,,,,,,,,,,,,,,,
Ski team,Θεσσαλονίκη,,Αθλητισμός,Ski,none,,http://www.skiteam.gr/,,,,,,,,,,,,,,,
PAOK BASKET,Θεσσαλονίκη,,Αθλητισμός,Basket,PAOK,,http://www.paokbc-academies.gr/,,,,,,,,,,,,,,,
Ακαδημία Στίβου ΓΣ Μακεδών Θεσσαλονίκης,Θεσσαλονίκη,,Αθλητισμός,Στίβος,none,https://www.facebook.com/gsmakedon/,,,,,,,,,,,,,,,,
Απολλων Καλαμαριας,Θεσσαλονίκη,,Αθλητισμός,Στίβος,none,,https://mgskapollon.gr/akadimies,,,,,,,,,,,,,,,
Ιστιοπλοικος Ομιλος Θεσσαλονικης,Θεσσαλονίκη,,Αθλητισμός,Ιστιοπλοϊα,Ιστιοπλοικος Ομιλος Θεσσαλονικης,,http://www.ioth.gr,,,,,,,,,,,,,,,
Α.Μ.Σ. ΝΕΣΤΩΡ,Θεσσαλονίκη,,Αθλητισμός,Volley,none,,,,,,,,,,,,,,,,,
ΗΡΑΚΛΗΣ ΠΕΤΟΣΦΑΙΡΙΣΗ 2015 ,Θεσσαλονίκη,,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
Σ.Α. ΠΕΙΡΑΜΑΤΙΚΟΥ Σ.Θ. ,Θεσσαλονίκη,,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΛΕΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ TAEKWONDO ΜΑΚΕΔΟΝΕΣ ΕΛΕΥΘΕΡΙΟΥ – ΚΟΡΔΕΛΙΟΥ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΤΑΕΚΒΟΝΤΟ ΑΘΛΟΦΟΡΟΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΗ ΚΙΝΗΣΗ ΑΜΠΕΛΟΚΗΠΩΝ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,
ΑΣ ΠΟΣΕΙΔΩΝΑΣ ΑΝΩ ΤΟΥΜΠΑΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΤΑΕΚΒΟΝΤΟ ΔΙΑΣ ΣΥΚΕΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Γ.Σ. ΤΑΕΚΒΟΝΤΟ ΜΑΧΗΤΕΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
Α.Ο. ΓΥΜΝΑΣΤΙΚΗΣ ΤΑΕΚΒΟΝΤΟ ΠΗΓΑΣΟΣ ΑΝΑΛΗΨΕΩΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
ΑΘΛΗΤΙΚΟΣ  ΣΥΛΛΟΓΟΣ  ΤΑΛΩΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α. Σ. ΑΤΡΩΤΟΣ ΑΣΒΕΣΤΟΧΩΡΙΟΥ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ  ΤΑΕΚΒΟΝΤΟ ΝΙΚΟΠΟΛΗΣ «ΟΔΥΣΣΕΑΣ»,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΑΣΠΙΣ  ΕΥΟΣΜΟΥ & δ.τ .»ΑΣ ΑΣΠΙΣ ΕΥΟΣΜΟΥ»,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΠΕΡΣΕΑΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ ΚΑΙ ΕΚΠΟΛΙΤΙΣΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΟΛΥΜΠΙΑΚΗ ΦΛΟΓΑ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΧΑΡΙΛΑΟΥ ΑΛΚΙΜΟΣ,Θεσσαλονίκη,,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Α. ΑΛΜΠΑΤΡΟΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Α.Ο.Α. ΑΣΤΕΡΑΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
Α.Ο.Α. ΠΟΣΕΙΔΩΝ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
"Α.Ο.Α. ΣΤΑΥΡΟΥΠΟΛΗΣ ""ΙΦΙΤΟΣ""",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
"Α.Ο. ΘΕΡΜΗΣ ""ΘΕΡΜΑΙΟΣ""",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
"Α.Σ. ""ΑΚΑΔΗΜΙΕΣ ΠΡΩΤΑΘΛΗΤΩΝ""",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ.Α. ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Α.Σ.Α.ΠΑΝΟΡΑΜΑΤΟΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
"Γ.Σ. ΕΛΕΥΘΕΡΙΟΥ ΚΟΡΔΕΛΙΟΥ ""ΑΡΓΟΝΑΥΤΕΣ""",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
Ε.Α.Σ.ΟΛΥΜΠΙΑΔΑ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Ε.Α.Τ.Ε.Κ. ΕΛΛΗΝΙΚΟ ΚΟΛΛΕΓΙΟ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Ε.Σ.Ο. ΕΠΙΚΟΥΡΟΣ ΠΟΛΙΧΝΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Ε.Φ.Τ. ΑΙΟΛΙΚΗ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΕΘΝΙΚΟΣ ΠΑΝΟΡΑΜΑΤΟΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
"Μ.Α.Σ. ""ΑΤΡΟΜΗΤΟΣ"" ΤΡΙΑΔΙΟΥ",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Μ.Α.Σ. ΑΕΤΟΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΝΑΥΤΙΚΟΣ ΟΜΙΛΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΕΥΟΣΜΟΥ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΚΙΛΚΙΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΚΟΥΦΑΛΙΩΝ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
