School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos,To publish
ZEN CENTER ATHENS,Αθήνα,ΠλατείαΑγ.Ειρήνης,Πολεμικές τέχνες,,,www.facebook.com/zencenterathens,www.zencenterathens.com,https://www.polemikes-tehnes.gr/pics/logos/b/2014818193149708.jpg,,,, info@zencenterathens.gr,,,,,,,,polemikes-texnes.gr,,,
KARATE ΑΙΓΑΛΕΩ - Η ΚΑΡΔΙΑ ΤΟΥ ΠΟΛΕΜΙΣΤΗ,Αθήνα,Αιγάλεω,Πολεμικές τέχνες,,,www.facebook.com/yubukaidojo/,www.lemonbook.gr/site.php?store=TJbGLaLT5jDrZYGgRqUmyNyn&language=EL,https://www.polemikes-tehnes.gr/pics/logos/b/2017821225551496.jpg,,,, ikardiatoupolemisti239@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
NORTHERN EAGLE CLAW KUNG FU – GREGORY VASILAKIS,Αθήνα,Κερατσίνι-Αμφιάλη,Πολεμικές τέχνες,,,www.facebook.com/yingjowpaigreece,www.yingjowpai.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201497184840520.jpg,,,, sifuvasilakis@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
YING JOW PAI ΗΛΙΟΥΠΟΛΗΣ,Αθήνα,Ηλιούπολη,Πολεμικές τέχνες,,,www.facebook.com/Ying.Jow.Pai.Ilioupoli/,www.yingjowpailioupoli.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2017612152913986.jpg,,,, katsivass@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
Γ.Σ. ΜΑΧΗΤΙΚΩΝ ΤΕΧΝΩΝ ΙΛΙΣΙΩΝ,Αθήνα,Ιλίσια,Πολεμικές τέχνες,,,www.facebook.com/Ying-Shou-Quan-Greece-502918036549831/,eagleclaw.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201792420344358.jpg,,,, info@eagleclaw.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ.ΚΕΡΑΜΙΚΟΣ,,,Πολεμικές τέχνες,,,www.facebook.com/www.realkungfu.gr/,www.realkungfu.gr,https://www.polemikes-tehnes.gr/pics/logos/b/20168291102109.jpg,,,, doukasyingjaw@gmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΝΙΚΟΜΑΧΟΣ ΒΟΛΟΥ,Βόλος,,Πολεμικές τέχνες,,,www.facebook.com/www.nikomahos.gr/?ref=hl,www.nikomahos.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/20179172213868.jpg,,,, dimtoris@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
Wu Yongchunquan Academy-Foshan WingChun,Αθήνα,ΝέαΦιλαδέλφεια,Πολεμικές τέχνες,,,www.facebook.com/wuyongchunquan/timeline,wushu4u.com/,https://www.polemikes-tehnes.gr/pics/logos/b/20179209243939.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
WING TJUN ΑΡΤΑΣ,Άρτα,,Πολεμικές τέχνες,,,www.facebook.com/wingtjungreece?ref=hl,www.wingtjun.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/20131025124219271.jpg,,,, wingtjunarta@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
WING CHUN KUNG FU - BREBOS,Αθήνα,ΆνωΛιόσια,Πολεμικές τέχνες,,,www.facebook.com/WingChunKungFuPBrebos/timeline,www.wingchunkf.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201582312051395.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
