School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile
"""ΘΗΣΕΑΣ"" ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ
ΘΕΟΜΗΤΟΡΟΣ & ΑΓ. ΔΗΜΗΤΡΙΟΥ
ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ Τ.Κ.",Αθήνα,,Αθλητισμός,Τένις,,,,,,,"210 9713576
210 9940524",,,,κ.ΣΑΠΟΥΝΑΣ,,,,,http://www.iaenosi.gr/sillogoi-tennis.html,
«ΑΘΛΟΣ» ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΚΑΡΑΤΕ ΕΛΛΗΝΙΚΟΥ,Αθήνα,Έλληνικό,Πολεμικές τέχνες,Karate,,https://www.facebook.com/pages/Katsalifis-Karate/433144390096735?fref=ts,http://www.katsalifisacademy.gr/,,Ιασωνιδου & Πλαπούτα 21,16777,,lefteriskatsalifis@yahoo.gr,,,,,,,,wefit.gr,
«ΑΙΘΕΡΑΣ»,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,
2be FIT,Αθήνα,ΑΙΓΑΛΕΩ,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/pages/2be-FIT/458480000945011?sk=timeline,,,Μάρκου Μπότσαρη 5,12241,,evriviadis.malakis@yahoo.gr,,,,,,,,wefit.gr,
4el,Αθήνα,Κουκάκι,Πολεμικές τέχνες,,,www.facebook.com/4el.gr,4el.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201683123051634.jpg,,,, info@4el.gr,,,,,,,,Polemikes-technes.gr,
9 DOJO,Θεσσαλονίκη,,Πολεμικές τέχνες,,,www.facebook.com/9dojo/,,https://www.polemikes-tehnes.gr/pics/logos/b/20178413119444.jpg,,,, hiningen@yahoo.com,,,,,,,,Polemikes-technes.gr,
A.O NEO IKONIO,Αθήνα,ΠΕΡΑΜΑ,ΠΟΔΟΣΦΑΙΡΟ,Ποδόσφαιρο,,https://www.facebook.com/neoikonio.fairplay?fref=ts,,,Παντελή Νικολαίδη,18863,,aoneoikonio2004@gmail.com,,,,,,,,wefit.gr,
A.Σ ΙΑΠΕΤΟΣ ΧΑΝΙΩΝ,Χανιά,,Πολεμικές τέχνες,Kung Fu,,www.facebook.com/groups/137891819557495/?fref=ts,,https://www.polemikes-tehnes.gr/pics/logos/b/201792594841377.jpg,,,, iapetoschania@gmail.com,,,,,,,,Polemikes-technes.gr,
A.Σ. TΑΕΚΒΟΝΤΟ KEUMGANG,Αθήνα,ΚΕΡΑΤΣΙΝΙ,Πολεμικές τέχνες,Tae Kwon Do,,www.facebook.com/profile.php?id=100003284968812,,https://www.polemikes-tehnes.gr/pics/logos/b/2014115152553562.jpg,,,210 40 82 886  , iantkd@yahoo.gr,,,,,,,,Polemikes-technes.gr,
A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,Θεσσαλονίκη,Βυζάντιο,Πολεμικές τέχνες,Aikido,,www.facebook.com/groups/yudokan/,www.atrapos.gr ,https://www.polemikes-tehnes.gr/pics/logos/b/2016320145454543.jpg,,,+30 2310 480089, info@atrapos.gr ,,,,,,,,Polemikes-technes.gr,
