School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos,To publish
PANDA ΣΤΟ ΝΕΡΟ,Αθήνα,Βριλήσσια,BABY SWIMMING,Κολύμβηση,,https://www.facebook.com/pages/Panda-%CF%83%CF%84%CE%BF-%CE%BD%CE%B5%CF%81%CF%8C/517172738322875,http://pandastonero.gr/,306586_517178401655642_1818176844_n.jpg,"Γράμμου 42,Βριλήσσια,Τ.Κ. 15235",15235,,info@pandastonero.gr,,,,,,,,wefit,,,
Αθλητικός Όμιλος Ωκεανός,Αθήνα,,Αθλητισμός,Κολύμβηση,,https://www.facebook.com/AoOkeanos,http://www.aooc.gr/index.asp,screen-shot-2014-12-09-at-30157-pm.png,OAKA,,,,,,,,,,,wefit,,,
ΙΠΠΟΚΑΜΠΟΣ ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ,Αθήνα,Κολωνός,Αθλητισμός,Κολύμβηση,,,www.aoippokampos.gr,,Ιφιγενείας &Λεάνδρου,,(213) 0343603,nikosathens81@hotmail.com,,,,,,,,omospondia,,,
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣΚΟΛΛΕΓΙΟΥ ΝΤΕΡΗ,Αθήνα,Αγ.Παρασκευή,Αθλητισμός,Κολύμβηση,,,http://www.acg.edu/current-students/athletics/d-c-a-c-sports-academies,,Γραβιάς 6  ,,(210) 6009800,,,,,,,,,omospondia,,,
ΠΑΝΑΘΗΝΑΪΚΟΣ ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ,Αθήνα,,Αθλητισμός,Κολύμβηση,,,http://www.panathinaikos1908.gr,,Αρματωλών Κλεφτών 47,,(210) 6444401,paoaquatics@gmail.com,,,,,,,,omospondia,,,
ΡΟΗ AQUA TEAM,Αθήνα,,Αθλητισμός,Κολύμβηση,,https://el-gr.facebook.com/%CE%A1%CE%9F%CE%97-Aqua-Team-Swimming-Club-300267080063651/,,,Κολυμβητήριο ΟΑΚΑ   ,,(210) 2778151,roi_aquateam@hotmail.com,,,,,,,,omospondia,,,
ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ ΚΟΛΩΝΟΥ,Αθήνα,,Αθλητισμός,Κολύμβηση,,,www.aokolonou.gr,,ΛΕΑΝΔΡΟΥ 37-39,,(210) 5148601,info@aokolonou.gr,,,,,,,,omospondia,,,
ΕΘΝΙΚΟΣ ΓΥΜΝΑΣΤΙΚΟΣ ΣΥΛΛΟΓΟΣ,Αθήνα,,Αθλητισμός,Κολύμβηση,,,www.ethnikosgs.gr,,ΟΛΓΑΣ 6         ,,(210) 9242149,,,,,,,,,omospondia,,,
ΩΚΕΑΝΟΣ ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ,Αθήνα,,Αθλητισμός,Κολύμβηση,,,http://www.aooc.gr/,,ΟΑΚΑ Τ.Θ. 67507,,(210) 6033796,info@aooc.gr,,,,,,,,omospondia,,,
ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ ΟΛΥΜΠΙΑΣ '73 ,Αθήνα,,Αθλητισμός,Κολύμβηση,,https://www.facebook.com/groups/439956696120242/,,,Δημαρχείου 56           ,,(210) 5910157, olympiada73@gmail.com,,,,,,,,omospondia,,,
