Name,Courses,Schools,Categories
Basket,"Basket 2007,Basket 2006,Basket 2010-2011,Basket 2008-2009,PIVOT 2002-03-04,REBOUND 2005,Basket Vergina ",Βεργίνα,Αθλητισμός
Volley,Volley Βεργίνα,,Αθλητισμός
Judo,,,Πολεμικές τέχνες
Ποδόσφαιρο,,,Αθλητισμός
Κιθάρα,Κιθάρα,,Μουσική
Βιολί,,,Μουσική
Karate,"Karate Do,Karate Kids",,Πολεμικές τέχνες
Ju-Jitsu,,,Πολεμικές τέχνες
Kobudo,Kobudo,,Πολεμικές τέχνες
Aikido,Aikido ,,Πολεμικές τέχνες
Capoeira,,,Πολεμικές τέχνες
Ενόργανη,,,Αθλητισμός
Μουσική Προπαιδεία,,,Μουσική
Κολύμβηση,,,Αθλητισμός
Τένις,,,Αθλητισμός
Παραδοσιακοί Χοροί,,,Χορός
Μοντέρνος Χορός,,,Χορός
Handball,handball,,Αθλητισμός
