"School","City","Perioxi","Category","Subcategory","Organization","Facebook","Website","Logo","Address","TK","Phone","email","Courses","Place","Rensponsible","Description","Verified","mobile","type","toPublish","UID","id","about","page_token","link","description","checkins","category","website","UID","picture","cover","emails","phone","street","longitude","latitude","located_in"
"ZEN CENTER ATHENS","Αθήνα","ΠλατείαΑγ.Ειρήνης","Πολεμικές τέχνες","Aikido,Iaido",,"www.facebook.com/zencenterathens","http://www.zencenterathens.com","https://www.polemikes-tehnes.gr/pics/logos/b/2014818193149708.jpg",,,,"info@zencenterathens.gr",,,,,,,,,"1620","432872590169510","To Zen Center είναι χώρος διδασκαλίας των πρακτικών ανατολικής φιλοσοφίας. ","zencenterathens","https://www.facebook.com/zencenterathens/","To Zen Center είναι ένας χώρος διδασκαλίας των πρακτικών ανατολικής φιλοσοφίας (διαλογισμός, πολεμικές τέχνες, yoga), οι οποίες αφορούν όλες τις διαστάσεις της ανθρώπινης ζωής και επηρεάζουν την εξέλιξη του ατόμου μέσω της ανάπτυξης της αυτογνωσίας και της αυτοπειθαρχίας. Μέσα από τις τέχνες και τις πρακτικές που φιλοξενεί, στοχεύει αφενός στην απόκτηση καλύτερης υγείας και ευρωστίας και αφετέρου στην ανάπτυξη ανθρωπίνων αρετών όπως των αυτοσεβασμού, αλληλοσεβασμού, σθένους, φιλευσπλαχνίας, τιμιότητας και ευθυκρισίας, διαμορφώνοντας με αυτόν τον τρόπο χαρακτήρες ικανούς να συμπορευθούν αρμονικά και δημιουργικά με τους συνανθρώπους τους. Για όλα αυτά, απαιτείται επιμονή και πειθαρχημένη άσκηση σε ένα ευχάριστο περιβάλλον. Οι πολεμικές τέχνες, όπως διδάσκονται στο Zen Center, δεν είναι μια ανταγωνιστική τεχνική ούτε ένα αγωνιστικό άθλημα. Είναι μια μέθοδος –do- που αναπτύσσει την αυτοκυριαρχία μας και συντελεί στον έλεγχο της ενέργειας που αφορά την εγκατάλειψη του Εγώ και την ένωση με το Ένα. *** Η εταιρεία δεν έχει κερδοσκοπικό χαρακτήρα και οι σκοποί της είναι κοινωφελείς και πολιτιστικοί. ΟΙ ΤΕΧΝΕΣ Zen Η Zen είναι γνωστή ως «σχολή διαλογισμού» του Βουδισμού. Ο διαφωτισμός που επέρχεται με την άσκησή της βοηθά στην αναγνώριση της ενότητας του εαυτού μας με το σύμπαν. Ζazen ονομάζεται ο τύπος του στοχασμού και της αυτοσυγκέντρωσης. H Zazen στοχεύει στην επαναφορά του μυαλού στην αρχική του κατάσταση που είναι αγνή και καθαρή και έχει τη δυνατότητα να βλέπει τον κόσμο όπως πραγματικά είναι εδώ και τώρα. Yoga Η Yoga είναι ένα ολιστικό σύστημα που καλύπτει όλα τα επίπεδα της ύπαρξής μας ανταποκρινόμενο στις ανάγκες της σύγχρονης κοινωνίας. Ο συνδυασμός της επιστημονικής σκέψης με την αρχαία σοφία οδηγεί σε φυσική ευεξία και νοητική, συναισθηματική και πνευματική σταθερότητα. Μέσω της Yoga μαθαίνουμε να διαχειριζόμαστε το στρες, την ένταση, το άγχος, τις αντιξοότητες, τις συγκρούσεις και τις προκλήσεις της ζωής. Ενθαρρύνει την ανάπτυξη της επίγνωσης και βελτιώνει την ποιότητα της καθημερινότητάς μας. Tae Kwon Do Το Τaekwon-Do είναι η πιο δημοφιλής κορεάτικη πολεμική τέχνη και το εθνικό άθλημα της Κορέας. Στα κορεάτικα “Tae” σημαίνει «τεχνική ποδιών», “Kwon” σημαίνει «τεχνική χεριών» και “Do” σημαίνει «Δρόμος». Αν και είναι πολεμική τέχνη, η πειθαρχία της, η τεχνική της και η ψυχική της εκπαίδευση βοηθούν στην οικοδόμηση μιας ισχυρής αίσθησης της δικαιοσύνης, του σθένους, της ταπεινότητας και της αποφασιστικότητας. Συνεπάγεται επίσης έναν τρόπο σκέψης και ζωής, ιδιαίτερα στην ενστάλαξη της έννοιας και του πνεύματος της αυστηρής αυτοεπιβολής της πειθαρχίας, καθώς και ένα ιδανικό της θωράκισης του χαρακτήρα με το ευγενικό ηθικό. Aikido Το Αϊκίντο αναπτύσσει πραγματική δύναμη με σφυρηλάτηση του μυαλού και του σώματος, με φυσικές κινήσεις χωρίς αδικαιολόγητη πίεση στο σώμα και ως εκ τούτου άνδρες, γυναίκες, νέοι και ηλικιωμένοι μπορούν να ασκηθούν σε αυτό. Το Αϊκίντο είναι η πολεμική τέχνη της αγάπης και της αρμονίας. Η τέχνη του Αϊκίντο (σημ. δεν είναι άθλημα) προσφέρει ένα ολοκληρωμένο σύστημα αυτοάμυνας και ανάπτυξης της φυσικής και πνευματικής κατάστασης. Iaido Το Iaido αποτελεί μία μοναδική ιαπωνική πολεμική τέχνη, με τις ρίζες της στην εποχή των πολεμιστών σαμουράι. Στο Iaido ο ασκούμενος ασκείται στο πώς να ξιφουλκεί αστραπιαία και να αντεπιτίθεται άμεσα όταν βρίσκεται απειλούμενος από έναν ή και περισσότερους αντιπάλους οπλισμένους επίσης με ξίφος. Μέσα από την επίμονη εξάσκηση, σφυρηλατείται το πνεύμα, ανακαλύπτεται ο εαυτός μας και τα συναισθήματα μας, γινόμαστε καλύτερα άτομα στην κοινωνία. ","578","Martial Arts School","http://www.zencenterathens.com/","1620","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/1505661_432873393502763_1090765838_n.png?oh=0dc3d53bc146926025c1f314ced0de19&oe=5B067C82","https://scontent.xx.fbcdn.net/v/t1.0-9/q88/s720x720/1521959_434070183383084_1155062263_n.jpg?oh=ec8f89db7f5eddf979b10aefd8b679f9&oe=5B0B9F3F","info@zencenterathens.gr",,"Limpona 2 & Vasilikis","23.72831","37.97752",
"NORTHERN EAGLE CLAW KUNG FU – GREGORY VASILAKIS","Αθήνα","Κερατσίνι-Αμφιάλη","Πολεμικές τέχνες","Kung Fu",,"www.facebook.com/yingjowpaigreece","www.yingjowpai.gr","https://www.polemikes-tehnes.gr/pics/logos/b/201497184840520.jpg",,,,"sifuvasilakis@yahoo.gr",,,,,,,,,"1147","167453240072418","The Official European Headquarters of Northern Eagle claw Kung Fu and Wu Style tai chi chuan in Greece. Under the instruction of master Gregory Vasilakis ","yingjowpaigreece","https://www.facebook.com/yingjowpaigreece/",,"130","Stadium, Arena & Sports Venue","http://yingjowpai.gr , http://kungfu.com.gr","1147","https://scontent.xx.fbcdn.net/v/t1.0-1/c110.37.458.458/s50x50/522511_167453390072403_2008639660_n.jpg?oh=1e303960c5ba09d339f7d37b0757316f&oe=5B4A4821","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/28424078_1009998375817896_7006024317780450285_o.jpg?oh=931c594619c3f957221254d52999d8b9&oe=5B41BC2C","europeanyingjowpai@yahoo.gr","2104111021","ΛΑΜΠΡΑΚΗ ΓΡΗΓΟΡΙΟΥ 415 ΚΕΡΑΤΣΙΝΙ","23.621423291063","37.970983684714",
"KARATE ΑΙΓΑΛΕΩ - Η ΚΑΡΔΙΑ ΤΟΥ ΠΟΛΕΜΙΣΤΗ","Αθήνα","Αιγάλεω","Πολεμικές τέχνες","Karate",,"www.facebook.com/yubukaidojo/","www.lemonbook.gr/site.php?store=TJbGLaLT5jDrZYGgRqUmyNyn&language=EL","https://www.polemikes-tehnes.gr/pics/logos/b/2017821225551496.jpg",,,,"ikardiatoupolemisti239@yahoo.gr",,,,,,,,,"635","1.44974488858751E+15",,"yubukaidojo","https://www.facebook.com/yubukaidojo/",,"1","Martial Arts School","http://www.lemonbook.gr/site.php?store=GG8N82yA934SsLdLBu2LjTnG","635","https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.50.50/p50x50/1507059_1451605261734806_787333527_n.jpg?oh=f9b48e2d38072dae18178e58ddfc6474&oe=5B3EAE63","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/1559561_1449746801920652_513085039_o.jpg?oh=890e5f34b9cda036c415e958096a8a2d&oe=5B4CA411",,"2105316177, 6944034330","Vardousion 38","23.6685","37.99975",
"YING JOW PAI ΗΛΙΟΥΠΟΛΗΣ","Αθήνα","Ηλιούπολη","Πολεμικές τέχνες","Kung Fu",,"www.facebook.com/Ying.Jow.Pai.Ilioupoli/","www.yingjowpailioupoli.gr/","https://www.polemikes-tehnes.gr/pics/logos/b/2017612152913986.jpg",,,,"katsivass@yahoo.gr",,,,,,,,,"973","130212770492852","EAGLE CLAW KUNG FU WU STYLE TAI CHI CHUAN","Ying.Jow.Pai.Ilioupoli","https://www.facebook.com/Ying.Jow.Pai.Ilioupoli/","EAGLE CLAW KUNG FU WU STYLE TAI CHI CHUAN","11","Stadium, Arena & Sports Venue","http://www.yingjowpailioupoli.gr/","973","https://scontent.xx.fbcdn.net/v/t1.0-1/c1.0.50.50/p50x50/1233555_196256327221829_51684809_n.jpg?oh=bcaf251e114f60b11d7798b5e2eb73a5&oe=5B40F641","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/13243690_570036003177191_3444122952529138224_o.jpg?oh=33c74e7675d6c6bc5bfd9916790a6671&oe=5B3BAA9B","katsivass@yahoo.gr","210 9717182, 6945394084","ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 92","23.761308789253","37.940838459644",
"Wu Yongchunquan Academy-Foshan WingChun","Αθήνα","ΝέαΦιλαδέλφεια","Πολεμικές τέχνες","Kung Fu",,"www.facebook.com/wuyongchunquan/timeline","wushu4u.com/","https://www.polemikes-tehnes.gr/pics/logos/b/20179209243939.jpg",,,,,,,,,,,,,"1408","642695609165150","1 . Directness of motion 2 . Economy of motion 3 . Simplicity of motion 4 . Practicality of motion 5 . Softness of motion","wuyongchunquan","https://www.facebook.com/wuyongchunquan/","Βασική αρχή και επιδίωξη είναι το άτομο να κατορθώσει να «εκμεταλλευθεί» το μυαλό του, προκειμένου να υπερτερήσει, γρήγορα και αποτελεσματικά, απέναντι στην ωμή φυσική δύναμη, της οποίας θα γίνει δέκτης.Δίνει έμφαση στην ταυτόχρονη άμυνα και επίθεση. Αποτελείται από απλές, σύντομες και άμεσες κινήσεις, οι οποίες αποσκοπούν στην εξάλειψη της σπατάλης ενέργειας. ","258","Martial Arts School","http://www.wushu4u.com","1408","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22366590_1143855962382443_312027964722463870_n.jpg?oh=b292a8a96577c9696d837f650e680873&oe=5B4340D3","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22424384_1143845509050155_1450365735804009578_o.png?oh=8743095fb76eafc7c7354af85f42f1d7&oe=5B4267E6","antonypantelias@gmail.com","6944280043 -2110111485","Χάλκης 2","23.7370377","38.0417442",
"Α.Σ. ΝΙΚΟΜΑΧΟΣ ΒΟΛΟΥ","Βόλος",,"Πολεμικές τέχνες",,,"www.facebook.com/www.nikomahos.gr/?ref=hl","www.nikomahos.gr/","https://www.polemikes-tehnes.gr/pics/logos/b/20179172213868.jpg",,,,"dimtoris@yahoo.gr",,,,,,,,,"205","221758758032059","1) ΕΛ.ΒΕΝΙΖΕΛΟΥ 112 38333 ΒΟΛΟΣ ΤΗΛ.-ΦΑΞ. 2421048482 2)28ΗΣ ΟΚΤ. 158-ΦΙΛΛΕΛΗΝΩΝ 14 ΤΗΛ. 2421038770 ","www.nikomahos.gr","https://www.facebook.com/www.nikomahos.gr/","ΝΙΚΟΜΑΧΟΣ ΒΟΛΟΥ Η ΜΕΓΑΛΗ ΑΘΛΗΤΙΚΗ ΟΜΑΔΑ ΤΟΥ ΤΑΕΚΒΟΝΤΟ ΣΤΟΝ ΒΟΛΟ","0","Sports Team","http://www.nikomahos.gr","205","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/15940715_553279871546611_815787185053241846_n.jpg?oh=cbd513f57bade6541697567566581325&oe=5B4A28B0","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/21125574_658397931034804_6589450292868793887_o.jpg?oh=30e7816fb8680dc932b6c08a8aa12463&oe=5B07F02B","dimtoris@yahoo.com","2421048482","1) ΕΛ.ΒΕΝΙΖΕΛΟΥ 112 38333 ΒΟΛΟΣ ΤΗΛ.-ΦΑΞ. 2421048482 2)28ΗΣ ΟΚΤ. 158-ΦΙΛΛΕΛΗΝΩΝ 14 ΤΗΛ. 2421038770",,,
"AIKIDO DOJO TOKAIDO","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido",,"www.facebook.com/tokaidogr","www.tokaido.gr/","https://www.polemikes-tehnes.gr/pics/logos/b/201389161436679.jpg",,,,"tokaidogr@gmail.com",,,,,,,,,"1316","247500845302868","http://www.tokaido.gr Αθήνα, Αγία Παρασκευή, Μαρούσι (ΟΑΚΑ) και Ραφήνα.","tokaidogr","https://www.facebook.com/tokaidogr/","Το Aikido Dojo Tokaido ιδρύθηκε το 2010 από τον Πέτρο Μουλαγιάννη 5. Dan Aikikai Hombu Dojo, με την υποστήριξη του Νίκου Κλάππα 3. Dan Aikikai Hombu Dojo. Το Aikido Dojo Tokaido είναι αφιερωμένο στην πρακτική εξάσκηση, τη διάδοση και τη διατήρηση της ιαπωνικής πολεμικής τέχνης του Αϊκίντο. Σήμερα καλύπτει τέσσερις περιοχές του Νομού Αττικής, με τη λειτουργία σχολών σε Αθήνα, Αγία Παρασκευή, Μαρούσι (ΟΑΚΑ) και Ραφήνα, ενώ όλες οι σχολές είναι ιδρυτικά μέλη της Ελληνικής Ενώσεως Αϊκίντο. Τα Aikido Tokaido Dojo-s είναι υπό την τεχνική επίβλεψη του Michel Erb Sensei, 6. Dan Aikikai, μαθητή του Shihan Christian Tissier 8. Dan Aikikai Hombu Dojo. Μέσω της Ελληνικής Ενώσεως Αϊκίντο και υπό την εποπτεία του Michel Erb Sensei τα Aikido Tokaido Dojo-s συνδέονται με την Παγκόσμια Έδρα του Αϊκίντο – Aikikai Foundation στο Τόκιο. Θα μας βρείτε: Zen Center Πλατεία Αγ. Ειρήνης Βασιλικής 2 & Λιμπονά, Αθήνα ΠΡΟΓΡΑΜΜΑ Δευτέρα-Τετάρτη-Παρασκευή: 18.00-19.30 Αθλητικός Όμιλος Ραφήνας Λ. Φλέμινγκ 51, Ραφήνα ΠΡΟΓΡΑΜΜΑ Δευτέρα -Πέμπτη 20.00 - 22.00 Παρασκευή 20.00 - 21.00 Ακαδημία Πολεμικών Τεχνών - Martial Way ΟΑΚΑ ~ Ολυμπιακό Ποδηλατοδρόμιο ΠΡΟΓΡΑΜΜΑ Δευτέρα - Τετάρτη - Πέμπτη 21.00 - 22.00 Hagakure Dojo Αγ. Ιωάννου 75, Αγ. Παρασκευή ΠΡΟΓΡΑΜΜΑ Δευτέρα & Πέμπτη 19.00 - 20.30","0","Athlete","http://www.tokaido.gr/","1316","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/1779821_685483531504595_1692394497_n.png?oh=b48b1c35825713cd3fff4307f0ddb229&oe=5B3F900D","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/13503023_1158304630889147_4024500692895769202_o.jpg?oh=bb3589e7a33da0632b909e4d0df9feb9&oe=5B3D8603","tokaidogr@gmail.com",,,,,
"TZANOS KARATE ACADEMY","Αθήνα","Κ.Χαλάνδρι","Πολεμικές τέχνες","Karate",,"www.facebook.com/TzanosKarateAcademyChalandri/","www.karatechalandri.gr/","https://www.polemikes-tehnes.gr/pics/logos/b/2017827103350926.png",,,,"tzanos_world@hotmail.com",,,,,,,,,"1047","847212931983520","Δοκιμαστικά μαθήματα για μικρούς και μεγάλους , εντελώς δωρεάν Πληροφορίες 6934305464 / 210 6858024","TzanosKarateAcademyChalandri","https://www.facebook.com/TzanosKarateAcademyChalandri/",,"0","Stadium, Arena & Sports Venue","https://www.karatechalandri.gr/","1047","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/10501684_847223105315836_2532434673970448307_n.jpg?oh=8f80c87b90a25badb9131b715de2e05f&oe=5B3AF763","https://scontent.xx.fbcdn.net/v/t31.0-0/p180x540/14524979_1213343218703821_1108271234649671586_o.jpg?oh=03d29113ca0012f028fedbf792f32fec&oe=5B460247",,"2106858025","Σαρανταπόρου 47 , Κ.Χαλάνδρι",,,
"WING CHUN KUNG FU - BREBOS","Αθήνα","ΆνωΛιόσια","Πολεμικές τέχνες","Kung Fu",,"www.facebook.com/WingChunKungFuPBrebos/timeline","www.wingchunkf.gr","https://www.polemikes-tehnes.gr/pics/logos/b/201582312051395.jpg",,,,,,,,,,,,,"712","178575802292595","Foshan Wing Chun Kung Fu, Kwok Fu line , Αυτοαμυνα","WingChunKungFuPBrebos","https://www.facebook.com/WingChunKungFuPBrebos/","Foshan Wing Chun Kung Fu, Kwok Fu line , Αυτοαμυνα","29","Martial Arts School","http://www.wingchunkf.gr/index.php/el/","712","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/15241736_735972113219625_7540863331884237869_n.png?oh=36212a4e7503995b34f04f74da698b75&oe=5B03B579","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/26112050_975605265922974_7983748196253628163_n.jpg?oh=88586a010602c8a074c2f0595cae3e65&oe=5B43C45E",,"6972858859","Λ Φυλης 160","23.700953722","38.078036258785",
"TITANS FIGHTERS","Χαλκιδική","ΝέαΜουδανιά","Πολεμικές τέχνες",,,"www.facebook.com/Titans-Fighters-435601423267457/",,"https://www.polemikes-tehnes.gr/pics/logos/b/201792154945253.jpg",,,,"dimtsatalas@gmail.com",,,,,,,,,"1391","435601423267457","ΜΑΧΗΤΙΚΑ ΑΘΛΗΜΑΤΑ","Titans-Fighters-435601423267457","https://www.facebook.com/Titans-Fighters-435601423267457/",,"7","Stadium, Arena & Sports Venue","https://www.facebook.com/Titans-Fighters-435601423267457/?ref=aymt_homepage_panel","1391","https://scontent.xx.fbcdn.net/v/t1.0-1/c0.1.50.50/p50x50/12299391_508607412633524_2249193164994868745_n.jpg?oh=fabcfd796ae51b108b58e4f5ddd3d378&oe=5B434695","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/14884605_659130420914555_4361165853877579742_o.jpg?oh=fbd6b9dc2d652109625ec9609511187b&oe=5B4D5A87",,,".","23.29125","40.24148",
